tract,Name,Household_Income_rP_gP_p25
12086004206,"South Beach, Miami Beach, FL",29417
12086002705,"Edgewater, Miami, FL",29371
12086002100,"Upper East Side, Miami, FL",29252
12086000901,"Miami, FL",29189
12086005302,"East Little Havana, Miami, FL",29126
12086002900,"Allapattah, Miami, FL",28908
12086005304,"East Little Havana, Miami, FL",28767
12086005303,"East Little Havana, Miami, FL",28560
12086002402,"Allapattah, Miami, FL",28294
12086004303,"Flamingo / Lummus, Miami Beach, FL",28176
12086002600,"Wynwood, Miami, FL",27267
12086001301,"Upper East Side, Miami, FL",27261
12086001103,"Miami, FL",27245
12086007103,"Coconut Grove, Miami, FL",27021
12086000902,"Miami, FL",26836
12086001302,"Upper East Side, Miami, FL",26292
12086002404,"Allapattah, Miami, FL",26227
12086002501,"Allapattah, Miami, FL",26205
12086002702,"Edgewater, Miami, FL",25785
12086002201,"Little Haiti, Miami, FL",25776
12086003702,"Downtown Miami, Miami, FL",25686
12086001401,"Little Haiti, Miami, FL",24659
12086001402,"Little Haiti, Miami, FL",24484
12086001006,"Miami, FL",24090
12086000903,"Miami, FL",23878
12086003001,"Overtown, Miami, FL",23767
12086003601,"Overtown, Miami, FL",23324
12086002502,"Allapattah, Miami, FL",23293
12086002800,"Wynwood, Miami, FL",22698
12086002004,"Little Haiti, Miami, FL",22599
12086002202,"Little Haiti, Miami, FL",22347
12086002001,"Little River, Miami, FL",21922
12086001005,"Miami, FL",21116
12086002003,"Little Haiti, Miami, FL",21059
12086007603,"South Miami, FL",20974
12086002300,"Model City, Miami, FL",20949
12086001003,"Miami, FL",20830
12086001002,"Miami, FL",20574
12086001701,"Brownsville, Miami, FL",20405
12086007101,"Coconut Grove, Miami, FL",20103
12086001801,"Brownsville, Miami, FL",19816
12086001904,"Model City, Miami, FL",19612
12086001901,"Model City, Miami, FL",19064
12086003400,"Overtown, Miami, FL",18993
12086007200,"Coconut Grove, Miami, FL",18931
12086001802,"Miami, FL",18753
12086001004,"Miami, FL",18586
12086001702,"Brownsville, Miami, FL",18124
12086003706,"Downtown Miami, Miami, FL",17989
12086001803,"Brownsville, Miami, FL",17549
12086001502,"Miami, FL",17181
12086001501,"Model City, Miami, FL",17124
12086003100,"Overtown, Miami, FL",16858
12086001903,"Model City, Miami, FL",16788
12086981000,"Star, Palm and Hibiscus Islands, Miami Beach, FL",
12086980300,"Coral Gables, FL",
12086003705,"Downtown Miami, Miami, FL",
12086980500,"Miami, FL",
12086980400,"Downtown Miami, Key Biscayne, FL",
