OBJECTID,PZIPCODEID,ZIP,ZIPCODE,GlobalID,SHAPE_Length,SHAPE_Area
68,33149,33149,33149,{3D992373-B703-485F-8662-353D081A9F4F},36099.5254734153,24020125.9996853
69,33173,33173,33173,{A9E9ED61-E3C8-49A6-9B33-9EB70F456001},21782.0700327733,17921664.6490784
70,33170,33170,33170,{FFF815CB-CBDD-4344-BD1E-22ACB6DC5790},65633.0726028968,48833792.2149795
71,33012,33012,33012,{F0B07BBD-1AE9-4E88-91FC-033686D50572},20143.2827803338,19354879.2202995
72,33014,33014,33014,{F5BA8C5E-62DC-4C8B-ACF1-BD2FC3998F29},26919.4310474644,24273646.9484742
73,33168,33168,33168,{1F22F658-00C0-4FCF-88F1-CA4779E0C352},19657.0832875291,11663635.848145
74,33183,33183,33183,{E8DDAB21-691A-4CC2-9C98-4F986A66E944},21207.0843408153,18784411.6070793
75,33182,33182,33182,{514578F4-B1F4-497D-8158-550E5107F16A},26593.6307373094,27834345.71576
76,33184,33184,33184,{E34C4F2B-807F-441C-8FAB-27A1BF4309F3},16376.0683427475,9798440.67233538
77,33174,33174,33174,{9B3DA57F-81EE-4B44-A30C-4785C849A9EB},17648.1971994718,10111426.8480433
78,33172,33172,33172,{5F2F10A5-CA5D-47CE-B078-F64214D6B7FF},24058.5126591422,24080008.2565101
79,33175,33175,33175,{2364A17B-FB39-486C-B166-BEEDC6B9F57B},22977.4351559267,25019123.9114512
80,33030,33030,33030,{BCECC65F-5878-4DDD-A6D0-9E468618B89D},54244.4791899936,105366554.159657
81,33013,33013,33013,{879A4178-4D7D-40AE-8C0C-DBE8C060B6E5},17360.7962139953,13323166.1999997
82,33194,33194,33194,{C8D4A920-4A17-4848-8AE5-77847FACDA1D},20142.3753186717,13896511.7975105
83,33177,33177,33177,{9FEC8761-8D0C-415B-82A4-8B72D2B31262},30546.6646623974,40961644.6543601
84,33157,33157,33157,{4153025F-AFED-4205-8D5E-2681EEC56BC2},39252.7618396036,49002584.3261031
85,33033,33033,33033,{21D11FF7-5824-4F56-A577-8BB1791A3779},63451.9536578073,64622805.458681
86,33032,33032,33032,{A47F684A-82AC-4FD4-A107-A123EDFF666D},48804.9624146694,73072659.5152317
87,33144,33144,33144,{190FBDEA-3176-41BE-B681-102569FD7CE9},19746.6727371029,9990074.7306719
88,33126,33126,33126,{5E527B0C-B2BF-4D3F-BB96-10F726B26EDA},29065.816703946,20077618.7542069
